chip_id,label,chip_path,WC_01,WC_02,WC_03,WC_04,WC_05,WC_06,WC_07,WC_08,WC_09,WC_10,WC_11,WC_12,WC_13,WC_14,WC_15,WC_16,WC_17,WC_18,WC_19,block_id,split
abs_134,0,abs_134.tif,0.732723738,0.670788434,0.200821745,0.735076688,0.715789508,0.500000014,0.74796753,0.412451476,0.681672089,0.686006888,0.421259868,0.551381215,0.566878981,0.181818182,0.684588789,0.56812933,0.333333333,0.358490566,0.577114428,82_942,val
abs_14,0,abs_14.tif,0.468495744,0.587326154,0.324169485,0.634849766,0.505263153,0.407407423,0.626016429,0.264591409,0.414791075,0.406143436,0.25984253,0.77679558,0.802547771,0.363636364,0.661207945,0.796766744,0.518518519,0.547169811,0.808457711,81_939,test
abs_147,0,abs_147.tif,0.861788738,0.616692544,0.328417338,0.63085852,0.663157982,0.629629636,0.650406649,0.603112921,0.710610969,0.70989765,0.614173246,0.672928177,0.687898089,0.090909091,0.767779973,0.690531178,0.314814815,0.339622642,0.71641791,82_936,train
abs_195,0,abs_195.tif,0.745935036,0.734157886,0.407880366,0.683547532,0.705263203,0.537037045,0.72357731,0.482490323,0.668810134,0.658703161,0.488189091,0.627624309,0.681528662,0.181818182,0.852614517,0.674364896,0.296296296,0.339622642,0.691542289,83_936,train
abs_223,0,abs_223.tif,0.804877928,0.604327795,0.456108332,0.583223668,0.589473594,0.629629636,0.593495941,0.579766639,0.633440622,0.624573257,0.594488221,0.732596685,0.770700637,0.090909091,0.844115495,0.771362587,0.314814815,0.358490566,0.800995025,82_933,train
abs_237,0,abs_237.tif,0.167682999,0.621329215,0.274426026,0.619399305,0.410526155,0.129629632,0.674796675,0.108949387,0.176848942,0.177474474,0.094488116,0.851933702,0.834394904,0.818181818,0.337557453,0.831408776,0.814814815,0.830188679,0.835820896,85_942,val
abs_404,0,abs_404.tif,0.376016223,0.573415921,0.426273486,0.569228234,0.431579016,0.388888893,0.577235794,0.272373503,0.299035325,0.300341492,0.263779534,0.853038674,0.866242038,0.454545455,0.604830848,0.863741339,0.611111111,0.660377358,0.875621891,81_938,test
abs_487,0,abs_487.tif,0.559959225,0.809891866,0.389404764,0.75190651,0.705263203,0.370370392,0.796747971,0.287937831,0.578778293,0.566552836,0.295275714,0.590055249,0.643312102,0.272727273,0.76559382,0.630484988,0.388888889,0.41509434,0.639303483,84_937,train
abs_562,0,abs_562.tif,0.761178997,0.491499345,0.659732995,0.357597311,0.410526155,0.685185251,0.430894279,0.73540866,0.443729955,0.45392496,0.728346526,0.579005525,0.50955414,0.363636364,0.241966971,0.524249423,0.611111111,0.58490566,0.534825871,78_949,test
abs_565,0,abs_565.tif,0.739837335,0.477588892,0.519735201,0.421706581,0.452631626,0.685185251,0.463414767,0.677042815,0.469453404,0.481228687,0.661417444,0.622099448,0.560509554,0.363636364,0.325589391,0.572748268,0.555555556,0.547169811,0.582089552,79_947,val
abs_627,0,abs_627.tif,0.594512185,0.513137657,0.639232594,0.387051148,0.389473795,0.592592632,0.455284693,0.618677109,0.334405067,0.354948947,0.637795415,0.880662983,0.904458599,0.363636364,0.68045125,0.905311778,0.537037037,0.58490566,0.925373134,79_934,train
abs_91,0,abs_91.tif,0.483739706,0.344667834,0.548705471,0.239190423,0.210526355,0.537037045,0.341463374,0.688716096,0.14147897,0.167235576,0.63385827,1,0.961783439,0.636363636,0.379323292,0.974595843,0.833333333,0.849056604,0.291044776,77_944,train
pres_121,1,pres_121.tif,0.925812855,0.389490162,0.410640552,0.44414045,0.431579016,0.740740756,0.422764206,0.754863757,0.614147805,0.607508672,0.76377957,0.740331492,0.700636943,0.090909091,0.586112852,0.718244804,0.388888889,0.377358491,0.76119403,80_933,test
pres_185,1,pres_185.tif,0.808943256,0.289026351,0.611120938,0.270252716,0.263157882,0.777777815,0.276422787,0.797665414,0.414791075,0.409556402,0.814960773,0.839779006,0.796178344,0.272727273,0.516996796,0.808314088,0.5,0.509433962,0.848258706,79_933,val
pres_21,1,pres_21.tif,0.835365852,0.289026351,0.526368093,0.28878329,0.305263102,0.796296316,0.300813007,0.809338555,0.446945156,0.447098784,0.822834783,0.808839779,0.74522293,0.272727273,0.433977108,0.759815242,0.537037037,0.528301887,0.791044776,78_936,train
